"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"res",0,-394.400745738609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",1,-299.994388395723,0.145719148359596,0.0625040796159156,0.00790048843498131,-0.0472721625751604,-0.00665345392090187,-0.0743227545431193,0.0644856645204793,0.0208112811876274,0.0391549376057769,-0.0468084095876879,-0.0195636812967858,0.0215735435620357,-0.00162296038766758,-0.000874552155127834,0.0237240224420908,0.194858712884513,0.0680404958944136,0.109878000810773,-0.127416520210896
"",2,-245.009448051234,0.256275615269749,0.109876350858396,0.0141684244513164,-0.0832184437381915,-0.0117475718509842,-0.130365548269696,0.113981080591755,0.0365138168638309,0.0687798362114577,-0.0819689861921058,-0.034025095141873,0.0377479025155977,-0.00319476970213632,-0.00196563566243546,0.0414631228046834,0.341843320109635,0.119755620728639,0.192969195743434,-0.223387841109188
"",3,-210.290088278966,0.344127342225987,0.147369387749887,0.020144823314922,-0.111935795979977,-0.0159633253273949,-0.173820285893767,0.154861269202922,0.0487261529585051,0.0920272651102072,-0.10880156053456,-0.0441888167466248,0.0499555447403933,-0.00552543988876616,-0.00417516452495508,0.0546676458118064,0.455733579571267,0.16112825484488,0.257988706886305,-0.297179215071557
"",4,-186.575628593247,0.417196083610901,0.178433696720389,0.02643146598721,-0.135906630774937,-0.0197082025730955,-0.208791991272972,0.190385514850952,0.0585900409550105,0.11099152582115,-0.129856426665933,-0.0509715654937728,0.0593187046162399,-0.00870872026968133,-0.00753313312414615,0.0645693260613746,0.54701211462865,0.195870266684608,0.310750946459907,-0.355464152866535
"",5,-169.351425871697,0.480006692103485,0.205105494497571,0.0331443964142368,-0.156554507891512,-0.0231889716444924,-0.237874883468607,0.22218929440651,0.0668134349016759,0.126939526730692,-0.146824592230345,-0.0551877980924573,0.0666013935069772,-0.0125706404458605,-0.0117809077727339,0.0720923353540755,0.622426043057854,0.226067277281513,0.354819743577925,-0.402662424599292
"",6,-156.243146296799,0.53526162306631,0.228613059209111,0.0402228148652016,-0.174743290419192,-0.0265078424531572,-0.26268873726308,0.251226131200139,0.0738397524475959,0.140658388303332,-0.160808822450741,-0.0574576035223468,0.0723100390133582,-0.0169214160366681,-0.0166719218422928,0.0778869706772862,0.686314620708008,0.252945017517536,0.392444805942324,-0.441694740839792
"",7,-145.902367196241,0.584689310815231,0.249734133108055,0.0475614658740381,-0.191029044471367,-0.029715354180044,-0.284278061959107,0.278113287915071,0.0799599604675043,0.152662064897572,-0.172550362459631,-0.0582343231009656,0.076789892684069,-0.0216085005379862,-0.0220213585674209,0.0824072291742233,0.741550042009297,0.277271720948111,0.425117696357662,-0.474540075414113
"",8,-137.511455790582,0.629465051908949,0.26898594027013,0.0550573580281048,-0.205788927376603,-0.0328366889712461,-0.303345303744354,0.303276943310683,0.0853741300881321,0.163302881580215,-0.182565660589796,-0.0578493112780906,0.0802855775818074,-0.026517644307671,-0.0276977334605731,0.0859739615260381,0.790100097507754,0.299558322031421,0.453873604754826,-0.502580742417086
"",9,-130.547114077335,0.67042852294609,0.286727797588677,0.0626234688573253,-0.219290509522328,-0.0358845509337832,-0.32038252918065,0.327024286160033,0.0902253696006377,0.172832887634098,-0.191226187955139,-0.0565480014016268,0.0829767342465987,-0.0315646368631534,-0.0336078375644128,0.0888179507442701,0.833357998209125,0.320162284250552,0.479459167725107,-0.52681076487352
